title,date_received,project_name,awarding_organization
"SARANY DESIGN AWARD OF EXCELLENCE",2025,"PHILMONT RISING","SARANY"
"AIA WESTCHESTER HUDSON VALLEY CITATION AWARD",2024,"PHILMONT RISING","AIA Westchester Hudson Valley"
"SARA NATIONAL DESIGN AWARD OF HONOR",2023,"WOODSTOCK LIBRARY","SARA"
"SARANY DESIGN AWARD OF EXCELLENCE",2023,"WOODSTOCK LIBRARY","SARANY"
"AIA NEW YORK FEATURED ARCHITECT, LYN RICE FAIA",2019,"","AIA New York"
"NYC PUBLIC DESIGN COMMISSION AWARD FOR EXCELLENCE",2018,"HAMILTON FISH PARK LIBRARY","NYC Public Design Commission"
"AIA NEW YORK STATE AWARD OF CITATION",2018,"CARRIAGE HOUSES & GROUNDS","AIA New York State"
"SARANY DESIGN AWARD OF EXCELLENCE",2018,"CARRIAGE HOUSES & GROUNDS","SARANY"
"NYC X DESIGN AWARD",2018,"CARRIAGE HOUSES & GROUNDS","NYC X Design"
"AIANY MERIT AWARD",2018,"PARSONS MAKING CENTER","AIANY"
"NYC X DESIGN HONOREE",2018,"NYPD BOMB SQUAD OPERATIONS CENTER","NYC X Design"
"NYC X DESIGN HONOREE",2018,"PARSONS MAKING CENTER","NYC X Design"
"SARANY DESIGN AWARD OF MERIT",2018,"PARSONS MAKING CENTER","SARANY"
"NYC PUBLIC DESIGN COMMISSION AWARD FOR EXCELLENCE",2017,"NYPD BOMB SQUAD OPERATIONS CENTER","NYC Public Design Commission"
"ART MILL INTERNATIONAL COMPETITION FINALIST",2016,"CENTER FOR CONTEMPORARY ARTS & CULTURE 11","Art Mill"
"NYC DESIGN EXCELLENCE FIRM SELECTION (R+L)",2016,"","NYC Design Excellence"
"AIA NEW YORK STATE DESIGN AWARD OF EXCELLENCE",2014,"MUSEUM OF CONTEMPORARY ART DETROIT","AIA New York State"
"INTERNATIONAL ALA/IIDA LIBRARY DESIGN AWARD",2014,"HAMILTON GRANGE LIBRARY TEEN CENTER","ALA/IIDA"
"UCDA AWARD OF EXCELLENCE",2014,"ENCOUNTERS: THE ARTS OF AFRICA","UCDA"
"GREEN PLANET ARCHITECTS AWARD",2013,"","Green Planet Architects"
"NATIONAL AIA/ALA LIBRARY BUILDING AWARD",2013,"HAMILTON GRANGE LIBRARY TEEN CENTER","AIA/ALA"
"THE ARCHITECTURAL REVIEW FUTURE PROJECTS AWARD",2013,"MUSEUM OF CONTEMPORARY ART DETROIT","The Architectural Review"
"ARCHITIZER A+ AWARDS SPECIAL MENTION",2013,"MUSEUM OF CONTEMPORARY ART DETROIT","Architizer"
"NYC DESIGN EXCELLENCE FIRM SELECTION (R+L)",2013,"","NYC Design Excellence"
"AIA NEW YORK STATE DESIGN AWARD OF MERIT",2012,"HAMILTON GRANGE LIBRARY TEEN CENTER","AIA New York State"
"NYC PUBLIC DESIGN COMMISSION AWARD FOR EXCELLENCE",2012,"CARRIAGE HOUSES & GROUNDS","NYC Public Design Commission"
"SARANY DESIGN AWARD OF MERIT",2012,"HAMILTON GRANGE LIBRARY TEEN CENTER","SARANY"
"AIA NEW YORK MERIT AWARD",2010,"THE NEW SCHOOL WELCOME CENTER","AIA New York"
"SARANY DESIGN AWARD OF HONOR",2010,"JOAN MITCHELL FOUNDATION OFFICES","SARANY"
"MUNICIPAL ARTS SOCIETY MASTERWORK AWARD",2009,"SHEILA JOHNSON DESIGN CENTER","Municipal Arts Society"
"The International Architecture Award/Chicago Athenaeum & European Centre",2009,"SHEILA JOHNSON DESIGN CENTER","Chicago Athenaeum & European Centre"
"National AIA Honor Award",2009,"SHEILA JOHNSON DESIGN CENTER","AIA"
"AIA New York Merit Award",2009,"SHEILA JOHNSON DESIGN CENTER","AIA New York"
"AIANY/Center for Architecture Exhibition Designer Selection (LRA)",2009,"","AIANY/Center for Architecture"
"National SCUP Excellence Award",2009,"SHEILA JOHNSON DESIGN CENTER","SCUP"
"SARANY Design Award of Excellence",2008,"SHEILA JOHNSON DESIGN CENTER","SARANY"
"AIA New York State Award of Excellence",2008,"SHEILA JOHNSON DESIGN CENTER","AIA New York State"
"AIA NY/Boston Society of Architects Biennial Honor Award",2008,"SHEILA JOHNSON DESIGN CENTER","AIA NY/Boston Society of Architects"
"Architectural Record/Record Interiors Selection",2008,"SHEILA JOHNSON DESIGN CENTER","Architectural Record"
"National SARA Professional Design Award of Excellence",2008,"SHEILA JOHNSON DESIGN CENTER","SARA"
"New York Designs Juried Lecture Selection, The Architectural League of New York",2008,"","The Architectural League of New York"
"NYC Design Excellence Firm Selection (LRA)",2007,"","NYC Design Excellence"
"AIA New York Merit Award",2007,"SHEILA JOHNSON DESIGN CENTER","AIA New York"
"AIA New York Merit Award",2006,"DIA:BEACON","AIA New York"
"AIA Westchester/Mid-Hudson Honor Award",2005,"DIA:BEACON","AIA Westchester/Mid-Hudson"
"LANDed: Innovative Garden Structures Competition Winner",2005,"[AND]SCAPES","LANDed Competition"
"Building Brooklyn Award",2005,"BAMLDC 80 ARTS: DAVIS ARTS BUILDING","Building Brooklyn"
"Surface Magazine: Emerging New York Architectural Firms (OO)",2004,"","Surface Magazine"
"Fulton Street Transit Hub Permanent Art Installation Finalist",2004,"MISSED CONNECTIONS","Fulton Street Transit Hub"
"ID Magazine Environments Honorable Mention",2004,"BEYOND THE CATWALK","ID Magazine"
"ARCHITECTURAL RECORD DESIGN VANGUARD AWARD (OO)",2003,"","Architectural Record"
"THE ARCHITECTURAL LEAGUE OF NEW YORK EMERGING VOICES AWARD (OO)",2002,"","The Architectural League of New York"
